Provincia,Municipio,Nivel Funcional,Carretera,PKI,PKF,Sentido
A Coruña,Coirós,Autopista Libre \ Autovía,A-6,"563,63","563,71",Ascendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-53,"28,24","27,66",Descendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-53,"27,66","28,24",Ascendente
A Coruña,Curtis,Carretera Convencional,N-634,"671,86","672,08",Convencional
A Coruña,Coirós,Autopista Libre \ Autovía,A-6,"563,76","563,88",Descendente
A Coruña,Betanzos,Autopista Peaje,AP-9,"17,6","18,09",Ascendente
A Coruña,Betanzos,Autopista Peaje,AP-9,"18,72","18,26",Descendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-9,"60,47","60,94",Ascendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-9,"60,42","59,91",Descendente
A Coruña,Melide,Carretera Convencional,N-547,"43,27","43,42",Convencional
A Coruña,Melide,Carretera Convencional,N-547,"51,42","51,55",Descendente
A Coruña,O Pino,Carretera Convencional,N-547,"78,76","78,96",Descendente
A Coruña,O Pino,Carretera Convencional,N-547,"80,32","80,5",Ascendente
A Coruña,Ordes,Carretera Convencional,N-550,"26,02","26,08",Convencional
A Coruña,Ordes,Carretera Convencional,N-550,"22,47","22,63",Convencional
A Coruña,Ordes,Carretera Convencional,N-550,"23,44","23,66",Convencional
A Coruña,Aranga,Carretera Convencional,N-6,"560,02","560,06",Convencional
A Coruña,Aranga,Carretera Convencional,N-6,"560,19","560,23",Convencional
A Coruña,Curtis,Carretera Convencional,N-634,"668,21","668,31",Convencional
A Coruña,Betanzos,Carretera Convencional,N-651,"2,98","3,03",Convencional
Albacete,La Gineta,Autopista Libre \ Autovía,A-31,"58,2","58,7",Ascendente
Albacete,Albacete,Carretera Convencional,N-322,"373,07","373,34",Convencional
Alicante/Alacant,Elche/Elx,Autopista Libre \ Autovía,A-70,24,"23,39",Descendente
Alicante/Alacant,Pilar de la Horadada,Carretera Convencional,N-332,"43,69","43,89",Convencional
Alicante/Alacant,Elche/Elx,Carretera Convencional,N-340,"733,11","733,25",Convencional
Araba/Álava,Amurrio,Autopista Peaje,AP-68,"26,15","26,38",Ascendente
Araba/Álava,Amurrio,Autopista Peaje,AP-68,"24,55","24,3",Descendente
Araba/Álava,Kuartango,Autopista Peaje,AP-68,"47,16","47,62",Ascendente
Araba/Álava,Kuartango,Autopista Peaje,AP-68,"47,4","47,03",Descendente
Araba/Álava,Armiñón,Autopista Peaje,AP-68,"63,5",64,Ascendente
Araba/Álava,Armiñón,Autopista Peaje,AP-68,"64,07","63,59",Descendente
Asturias,Ribadesella,Carretera Convencional,N-634,"327,086","327,186",Convencional
Asturias,Cudillero,Autopista Libre \ Autovía,A-8,"445,14","445,54",Ascendente
Asturias,Castropol,Autopista Libre \ Autovía,A-8,"505,18","505,29",Ascendente
Asturias,Castropol,Autopista Libre \ Autovía,A-8,"505,02","505,11",Descendente
Asturias,Lena,Autopista Peaje,AP-66,"76,12","76,38",Ascendente
Asturias,Lena,Autopista Peaje,AP-66,"81,23","81,02",Descendente
Asturias,Cangas de Onís,Carretera Convencional,N-625,"161,97","162,07",Convencional
Asturias,Parres,Carretera Convencional,N-625,"157,785","157,85",Convencional
Asturias,Castropol,Carretera Convencional,N-640,"9,28","9,44",Convencional
Asturias,Llanes,Carretera Convencional,N-634,"286,13","286,18",Convencional
Badajoz,Nogales,Carretera Convencional,N-432,"33,67","33,94",Convencional
Badajoz,Zafra,Carretera Convencional,N-432,"66,97","67,37",Convencional
Badajoz,Azuaga,Carretera Convencional,N-432,"136,65","137,1",Convencional
Badajoz,Valle de Matamoros,Carretera Convencional,N-435,"64,08","64,25",Convencional
Badajoz,Monesterio,Carretera Convencional,N-630,"738,23","738,42",Convencional
Barcelona,Castellví de Rosanes,Autopista Peaje,AP-7N,"173,67","173,37",Descendente
Barcelona,Subirats,Autopista Peaje,AP-7N,"181,185","181,5",Ascendente
Barcelona,Subirats,Autopista Peaje,AP-7N,"181,475","181,125",Descendente
Barcelona,Castellví de Rosanes,Autopista Peaje,AP-7N,"173,84","174,195",Ascendente
Barcelona,Llinars del Vallès,Autopista Peaje,AP-7N,"122,22","121,825",Descendente
Barcelona,Vallgorguina,Autopista Peaje,AP-7N,"112,595","113,07",Ascendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"106,875","107,46",Ascendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"106,94","106,475",Descendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"100,535","100,115",Descendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"99,975","100,34",Ascendente
Barcelona,Llinars del Vallès,Autopista Peaje,AP-7N,"121,69","122,24",Ascendente
Bizkaia,Arakaldo,Autopista Peaje,AP-68,"11,62","12,03",Ascendente
Bizkaia,Arakaldo,Autopista Peaje,AP-68,"12,01","11,72",Descendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"51,14","51,19",Ascendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"55,82","55,82",Ascendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"57,84","57,93",Descendente
Burgos,Valle de Valdebezana,Carretera Convencional,N-623,"83,46","83,46",Descendente
Burgos,Merindad de Montija,Carretera Convencional,N-629,"44,9","45,28",Descendente
Burgos,Merindad de Montija,Carretera Convencional,N-629,"45,4","45,57",Ascendente
Burgos,Monasterio de Rodilla,Autopista Libre \ Autovía,AP-1,"23,5","23,73",Ascendente
Burgos,Santa Olalla de Bureba,Autopista Libre \ Autovía,AP-1,"24,13","23,9",Descendente
Burgos,Grisaleña,Autopista Libre \ Autovía,AP-1,"45,62","45,98",Ascendente
Burgos,Grisaleña,Autopista Libre \ Autovía,AP-1,"44,66","44,28",Descendente
Burgos,Pancorbo,Autopista Libre \ Autovía,AP-1,"55,18","55,44",Ascendente
Burgos,Santa María Rivarredonda,Autopista Libre \ Autovía,AP-1,"53,86","53,64",Descendente
Burgos,Miranda de Ebro,Autopista Libre \ Autovía,AP-1,"75,42","75,68",Ascendente
Burgos,Miranda de Ebro,Autopista Libre \ Autovía,AP-1,"76,58","76,33",Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"47,72","47,82",Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,47,"47,16",Ascendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"44,3","44,5",Ascendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"45,72","45,8",Ascendente
Burgos,Madrigal del Monte,Autopista Libre \ Autovía,A-1,"215,7","215,9",Ascendente
Burgos,Cogollos,Autopista Libre \ Autovía,A-1,"220,06","219,9",Descendente
Burgos,Villaldemiro,Autopista Libre \ Autovía,A-62,"26,88","27,633",Ascendente
Burgos,Villaldemiro,Autopista Libre \ Autovía,A-62,"27,57","26,867",Descendente
Burgos,Monasterio de Rodilla,Carretera Convencional,N-1,"258,68","259,8",Convencional
Burgos,Monasterio de Rodilla,Carretera Convencional,N-1,"263,21","263,36",Ascendente
Burgos,Pancorbo,Carretera Convencional,N-1,"306,71","307,06",Convencional
Burgos,Santa Olalla de Bureba,Carretera Convencional,N-1,"264,83","265,01",Ascendente
Burgos,Pancorbo,Carretera Convencional,N-1,"305,11","305,32",Descendente
Burgos,Valle de Valdebezana,Carretera Convencional,N-232,"566,33","567,08",Ascendente
Burgos,Salas de los Infantes,Carretera Convencional,N-234,439,439,Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"43,05","43,3",Ascendente
Burgos,Villafranca Montes de Oca,Carretera Convencional,N-120,"83,75",84,Descendente
Cantabria,Ribamontán al Monte,Autopista Libre \ Autovía,A-8,"190,15","190,77",Ascendente
Cantabria,Ribamontán al Monte,Autopista Libre \ Autovía,A-8,190,"189,583",Descendente
Cantabria,Penagos,Autopista Libre \ Autovía,A-8,"208,832","209,145",Ascendente
Cantabria,Penagos,Autopista Libre \ Autovía,A-8,"208,3","207,85",Descendente
Cantabria,Cabezón de la Sal,Autopista Libre \ Autovía,A-8,"247,3","246,91",Descendente
Castellón/Castelló,Segorbe,Autopista Libre \ Autovía,A-23,"23,05","23,61",Ascendente
Castellón/Castelló,Segorbe,Autopista Libre \ Autovía,A-23,"25,07","25,36",Ascendente
Castellón/Castelló,Sant Jordi/San Jorge,Carretera Convencional,N-232,"13,41","13,92",Convencional
Castellón/Castelló,Jérica,Carretera Convencional,N-234,"40,92","41,23",Convencional
Castellón/Castelló,Viver,Carretera Convencional,N-234,"46,32","46,46",Convencional
Castellón/Castelló,Barracas,Carretera Convencional,N-234,"61,74","62,19",Convencional
Castellón/Castelló,La Llosa,Carretera Convencional,N-340,"947,32","947,39",Convencional
Ciudad Real,Villarta de San Juan,Autopista Libre \ Autovía,A4,"141,934","142,099",Ascendente
Ciudad Real,Villarta de San Juan,Autopista Libre \ Autovía,A4,"142,099","141,934",Descendente
Ciudad Real,Valdepeñas,Autopista Libre \ Autovía,A4,"211,41","211,58",Ascendente
Ciudad Real,Manzanares,Carretera Convencional,N-310,"60,9","60,725",Convencional
Ciudad Real,Fuencaliente,Carretera Convencional,N-420,"108,57","109,67",Convencional
Ciudad Real,Luciana,Carretera Convencional,N-430,269,"269,185",Convencional
Ciudad Real,Brazatortas,Carretera Convencional,N-420,"137,6","137,73",Convencional
Ciudad Real,Daimiel,Carretera Convencional,N-430,"329,72","329,92",Convencional
Cuenca,Saelices,Autopista Libre \ Autovía,A-3,"98,778","99,516",Ascendente
Cuenca,Saelices,Autopista Libre \ Autovía,A-3,"99,48","98,868",Descendente
Cuenca,Pozoamargo,Autopista Libre \ Autovía,A-31,"23,359","23,681",Ascendente
Cuenca,Pozoamargo,Autopista Libre \ Autovía,A-31,"23,67","23,182",Descendente
Cuenca,El Provencio,Autopista Peaje,AP-36,"107,2","108,23",Ascendente
Cuenca,El Provencio,Autopista Peaje,AP-36,"107,98","106,97",Descendente
Cuenca,Casas de Haro,Autopista Peaje,AP-36,"139,73","140,47",Ascendente
Cuenca,Casas de Haro,Autopista Peaje,AP-36,"140,47","139,74",Descendente
Cáceres,Trujillo,Autopista Libre \ Autovía,A-5,"237,21","236,37",Descendente
Cáceres,Trujillo,Autopista Libre \ Autovía,A-5,"235,77","236,62",Ascendente
Cáceres,Baños de Montemayor,Autopista Libre \ Autovía,A-66,"427,27","427,27",Descendente
Cádiz,Vejer de la Frontera,Carretera Convencional,N-340,"24,85","25,3",Ascendente
Cádiz,San Roque,Autopista Libre \ Autovía,A-7,"116,2",116,Descendente
Córdoba,Luque,Carretera Convencional,N-432,350,"350,2",Descendente
Córdoba,Baena,Carretera Convencional,N-432a,"335,245","335,39",Ascendente
Córdoba,Baena,Carretera Convencional,N-432a,"336,13","336,3",Descendente
Córdoba,Santa Eufemia,Carretera Convencional,N-502,"332,115","332,475",Descendente
Córdoba,Santa Eufemia,Carretera Convencional,N-502,"332,475","332,6",Ascendente
Córdoba,Santa Eufemia,Carretera Convencional,N-502,"332,6","332,825",Descendente
Córdoba,Santa Eufemia,Carretera Convencional,N-502,"334,65","334,98",Descendente
Córdoba,Santa Eufemia,Carretera Convencional,N-502,"335,41","335,635",Ascendente
Córdoba,Villanueva del Duque,Carretera Convencional,N-502,"370,495","370,885",Ascendente
Córdoba,Alcaracejos,Carretera Convencional,N-502,"372,3","372,775",Descendente
Córdoba,Villanueva del Duque,Carretera Convencional,N-502,376,"376,32",Ascendente
Córdoba,Alcaracejos,Carretera Convencional,N-502,"379,68","381,055",Ascendente
Córdoba,Baena,Carretera Convencional,N-432,"327,675","327,82",Ascendente
Córdoba,Castro del Río,Carretera Convencional,N-432,"318,265","318,44",Descendente
Córdoba,Córdoba,Carretera Convencional,N-432,"279,14","279,44",Descendente
Córdoba,Córdoba,Autopista Libre \ Autovía,A-4,"411,05","411,335",Ascendente
Córdoba,Córdoba,Autopista Libre \ Autovía,A-4,"414,3","415,975",Descendente
Córdoba,Lucena,Autopista Libre \ Autovía,A-45,"50,998","51,864",Ascendente
Córdoba,Lucena,Autopista Libre \ Autovía,A-45,"50,998","51,864",Descendente
Córdoba,La Rambla,Carretera Convencional,N-331,24,"24,17",Ascendente
Córdoba,La Rambla,Carretera Convencional,N-331,"24,56","24,84",Ascendente
Córdoba,Fernán-Núñez,Carretera Convencional,N-331,"27,8","27,91",Descendente
Córdoba,Montilla,Carretera Convencional,N-331,"41,37","41,9",Descendente
Córdoba,Montilla,Carretera Convencional,N-331,"42,22","43,12",Ascendente
Córdoba,Encinas Reales,Carretera Convencional,N-331,"83,9",84,Descendente
Córdoba,Encinas Reales,Carretera Convencional,N-331,"87,85","88,07",Ascendente
Córdoba,Benamejí,Carretera Convencional,N-331,93,"93,37",Descendente
Córdoba,Monturque,Carretera Convencional,N-331,"63,56","63,77",Ascendente
Córdoba,Lucena,Carretera Convencional,N-331,"66,25","66,54",Ascendente
Córdoba,Espejo,Carretera Convencional,N-432,"311,18","311,276",Descendente
Córdoba,Montoro,Carretera Convencional,N-420,"52,36","52,86",Convencional
Girona,Capmany,Autopista Peaje,AP-7N,"10,94","11,86",Ascendente
Girona,Capmany,Autopista Peaje,AP-7N,"11,9","11,015",Descendente
Girona,Figueres,Autopista Peaje,AP-7N,"23,3","24,02",Ascendente
Girona,Figueres,Autopista Peaje,AP-7N,"23,95","23,625",Descendente
Girona,Vilademuls,Autopista Peaje,AP-7N,"46,57","46,195",Descendente
Girona,Aiguaviva,Autopista Peaje,AP-7N,"67,86","67,55",Descendente
Girona,Vilobí d'Onyar,Autopista Peaje,AP-7N,"75,9","76,205",Ascendente
Girona,Vilobí d'Onyar,Autopista Peaje,AP-7N,"76,09","75,785",Descendente
Girona,Maçanet de la Selva,Autopista Peaje,AP-7N,"91,985","92,34",Ascendente
Girona,Biure,Carretera Convencional,N-2,"766,7","766,88",Convencional
Girona,Agullana,Carretera Convencional,N-2,"771,9","772,01",Convencional
Granada,Gualchos,Carretera Convencional,N-340,"351,38","351,45",Ascendente
Granada,Gualchos,Carretera Convencional,N-340,"350,56","350,62",Ascendente
Granada,Gualchos,Carretera Convencional,N-340,"347,7","347,75",Ascendente
Granada,Motril,Carretera Convencional,N-340,"344,89","345,13",Convencional
Granada,Gualchos,Carretera Convencional,N-340,"345,82","345,91",Ascendente
Granada,Gualchos,Carretera Convencional,N-340,"346,96","347,07",Ascendente
Granada,Gualchos,Carretera Convencional,N-340,"348,38","348,45",Ascendente
Guadalajara,Torremocha del Campo,Autopista Libre \ Autovía,A-2,"116,8",115,Descendente
Guadalajara,Anquela del Ducado,Carretera Convencional,N-211,"59,35","59,5",Ascendente
Guadalajara,Molina de Aragón,Carretera Convencional,N-211,"33,34","33,45",Convencional
Huelva,Jabugo,Carretera Convencional,N-433,"107,73","107,54",Descendente
Huelva,Aroche,Carretera Convencional,N-433,"121,51","121,27",Descendente
Huelva,Rosal de la Frontera,Carretera Convencional,N-433,"149,83",150,Ascendente
Huelva,Rosal de la Frontera,Carretera Convencional,N-433,"150,05","149,87",Descendente
Huelva,Zufre,Carretera Convencional,N-433,"67,29","67,52",Descendente
Huelva,Almonaster la Real,Carretera Convencional,N-433,"111,03","111,16",Ascendente
Huelva,Rosal de la Frontera,Carretera Convencional,N-433,"143,99","144,11",Ascendente
Huelva,La Nava,Carretera Convencional,N-435,"119,4","119,52",Ascendente
Huelva,Almonaster la Real,Carretera Convencional,N-435,"137,09","137,22",Descendente
Huelva,Almonaster la Real,Carretera Convencional,N-435,"141,14","141,23",Descendente
Huelva,Almonaster la Real,Carretera Convencional,N-435,"150,56","150,75",Ascendente
Huelva,El Campillo,Carretera Convencional,N-435,"162,7","162,86",Descendente
Huelva,El Campillo,Carretera Convencional,N-435,"164,94","165,06",Ascendente
Huelva,Santa Olalla del Cala,Carretera Convencional,N-630,"738,361","738,588",Convencional
Huelva,Santa Olalla del Cala,Carretera Convencional,N-630,"746,205","746,365",Convencional
Huelva,Santa Olalla del Cala,Carretera Convencional,N-630,"748,536","748,855",Convencional
Huelva,Santa Olalla del Cala,Carretera Convencional,N-630,"754,44","755,125",Convencional
Huelva,Santa Olalla del Cala,Carretera Convencional,N-630,"755,529","755,823",Convencional
Huesca,Aisa,Carretera Convencional,N330-A,"674,37","674,47",Convencional
Huesca,Canfranc,Carretera Convencional,N330,"665,66","665,73",Convencional
Huesca,Puente de Montañana,Carretera Convencional,N-230,"91,67","91,88",Convencional
Huesca,Puente de Montañana,Carretera Convencional,N-230,"94,78","94,84",Convencional
Huesca,Arén,Carretera Convencional,N-230,"97,46","97,66",Convencional
Huesca,Sopeira,Carretera Convencional,N-230,111,"111,12",Convencional
Huesca,Castejón del Puente,Carretera Convencional,N-240,"150,97","151,19",Convencional
Huesca,Lascellas-Ponzano,Carretera Convencional,N-240,"181,55","181,6",Convencional
Huesca,Siétamo,Carretera Convencional,N-240,"196,02","196,21",Convencional
Huesca,Siétamo,Carretera Convencional,N-240,"196,02","196,26",Convencional
Huesca,Torla-Ordesa,Carretera Convencional,N260. Hoy N-260A,"483,92","483,95",Convencional
Huesca,Torla-Ordesa,Carretera Convencional,N260. Hoy N-260A,"483,92","483,95",Convencional
Huesca,Arguis,Carretera Convencional,N330,"596,7","596,85",Convencional
Huesca,Arguis,Carretera Convencional,N330,"597,04","597,4",Convencional
Huesca,Sabiñánigo,Carretera Convencional,N330,"612,68","612,94",Convencional
Huesca,Jaca,Carretera Convencional,N330,"649,08","649,3",Convencional
Huesca,Canfranc,Carretera Convencional,N330,"662,32","662,36",Convencional
Huesca,Puente de Montañana,Carretera Convencional,N-230,"91,41","91,67",Convencional
Huesca,Puente de Montañana,Carretera Convencional,N-230,"85,98","86,06",Convencional
Huesca,Tolva,Carretera Convencional,N-230,"77,62","77,72",Convencional
Huesca,Benabarre,Carretera Convencional,N-230,"61,85","62,05",Convencional
Huesca,Peñalba,Autopista Peaje,AP-2,"73,41","74,015",Ascendente
Huesca,Candasnos,Autopista Peaje,AP-2,91,"91,64",Ascendente
Huesca,Fraga,Autopista Peaje,AP-2,"106,94","107,66",Ascendente
Huesca,Torrente de Cinca,Autopista Peaje,AP-2,"107,7","107,05",Descendente
Huesca,Candasnos,Autopista Peaje,AP-2,"91,79","91,18",Descendente
Huesca,Peñalba,Autopista Peaje,AP-2,74,"73,39",Descendente
Huesca,Olvena,Carretera Convencional,N-123,"14,1","14,35",Convencional
Huesca,Olvena,Carretera Convencional,N-123,"16,78","16,91",Convencional
Huesca,Graus,Carretera Convencional,N-123a,"21,78","21,83",Convencional
Huesca,Candasnos,Carretera Convencional,N-2,"404,87","405,04",Convencional
Huesca,Candasnos,Carretera Convencional,N-2,"404,87","405,05",Convencional
Huesca,Fraga,Carretera Convencional,N-2,"429,48","430,05",Convencional
Huesca,Benabarre,Carretera Convencional,N-230,"59,42","59,57",Convencional
Huesca,Estada,Carretera Convencional,N-123,"9,56","9,63",Convencional
Huesca,Villanúa,Carretera Convencional,N-330,"657,69","658,16",Convencional
Huesca,Villanúa,Carretera Convencional,N-330,"660,56","661,26",Convencional
Jaén,Sorihuela del Guadalimar,Carretera Convencional,N-322,"199,75",200,Convencional
La Rioja,Torrecilla en Cameros,Carretera Convencional,N-111,"295,1","295,15",Convencional
La Rioja,Viguera,Carretera Convencional,N-111,"300,52","300,59",Convencional
La Rioja,Viguera,Carretera Convencional,N-111,"306,37","306,67",Convencional
La Rioja,Lumbreras,Carretera Convencional,N111-A,"268,5","268,53",Convencional
La Rioja,Huércanos,Carretera Convencional,N-120,"18,23","18,42",Convencional
La Rioja,Huércanos,Carretera Convencional,N-120,"18,59","18,74",Convencional
La Rioja,Torrecilla en Cameros,Carretera Convencional,N-111,"292,12","292,14",Convencional
La Rioja,Villanueva de Cameros,Carretera Convencional,N-111,"280,92","281,07",Convencional
La Rioja,Lumbreras,Carretera Convencional,N-111,"275,62","275,69",Convencional
La Rioja,Haro,Autopista Peaje,AP-68,"81,06","80,79",Descendente
La Rioja,Fuenmayor,Autopista Peaje,AP-68,"114,68","114,99",Ascendente
La Rioja,Fuenmayor,Autopista Peaje,AP-68,"115,32","114,97",Descendente
La Rioja,Lardero,Autopista Peaje,AP-68,"124,69","125,23",Ascendente
La Rioja,Lardero,Autopista Peaje,AP-68,"125,07","124,5",Descendente
La Rioja,Alcanadre,Autopista Peaje,AP-68,"154,16","154,76",Ascendente
La Rioja,Alcanadre,Autopista Peaje,AP-68,"154,76","154,01",Descendente
La Rioja,Aldeanueva de Ebro,Autopista Peaje,AP-68,"185,52","186,1",Ascendente
La Rioja,Aldeanueva de Ebro,Autopista Peaje,AP-68,"186,16","185,44",Descendente
La Rioja,Alfaro,Autopista Peaje,AP-68,"196,36","197,12",Ascendente
La Rioja,Alfaro,Autopista Peaje,AP-68,"197,04","196,39",Descendente
La Rioja,Lumbreras,Carretera Convencional,N-111,"267,35","267,74",Convencional
La Rioja,Lumbreras,Carretera Convencional,N-111,"272,03","272,19",Convencional
La Rioja,Lumbreras,Carretera Convencional,N-111,"274,05","274,19",Convencional
La Rioja,Lumbreras,Carretera Convencional,N-111,"275,06","275,18",Convencional
La Rioja,Lumbreras,Carretera Convencional,N-111,"275,83","275,89",Convencional
La Rioja,Haro,Autopista Peaje,AP-68,"80,14","80,43",Ascendente
La Rioja,Gimileo,Autopista Peaje,AP-68,"92,85","93,34",Ascendente
La Rioja,Gimileo,Autopista Peaje,AP-68,"93,43","92,94",Descendente
León,Ardón,Autopista Libre \ Autovía,A-66,"164,33","164,91",Ascendente
León,Ardón,Autopista Libre \ Autovía,A-66,"164,33","164,91",Descendente
León,Los Barrios de Luna,Autopista Peaje,AP-66,"105,4","105,65",Ascendente
León,Los Barrios de Luna,Autopista Peaje,AP-66,"98,37","98,11",Descendente
León,Rioseco de Tapia,Autopista Peaje,AP-66,"122,12","122,37",Ascendente
León,Valverde de la Virgen,Autopista Peaje,AP-66,"134,45","134,76",Ascendente
León,Valverde de la Virgen,Autopista Peaje,AP-66,"134,83","134,51",Descendente
León,Rioseco de Tapia,Autopista Peaje,AP-66,"121,66","121,46",Descendente
Lleida,Torres de Segre,Autopista Peaje,AP-2,"134,34","134,98",Ascendente
Lleida,Torres de Segre,Autopista Peaje,AP-2,"134,79","134,19",Descendente
Lleida,Puigverd de Lleida,Autopista Peaje,AP-2,"149,18","149,92",Ascendente
Lleida,Les Valls de Valira,Carretera Convencional,N-145,"3,02","3,09",Convencional
Lleida,Conca de Dalt,Carretera Convencional,N-260,"312,82","313,01",Convencional
Lleida,Sarroca de Bellera,Carretera Convencional,N-260,"324,14","324,38",Convencional
Lleida,Granyanella,Autopista Libre \ Autovía,A-2,"514,84","514,99",Ascendente
Lleida,Granyanella,Autopista Libre \ Autovía,A-2,515,"514,82",Descendente
Lleida,La Pobla de Segur,Carretera Convencional,N-260,"312,09","312,27",Convencional
Lleida,Puigverd de Lleida,Autopista Peaje,AP-2,"149,98","149,37",Descendente
Lleida,La Pobla de Segur,Carretera Convencional,N-260,"307,36","307,42",Convencional
Lleida,La Pobla de Segur,Carretera Convencional,N-260,"304,92","304,95",Convencional
Lleida,Arres,Carretera Convencional,N-230,"174,91","175,185",Descendente
Lleida,Prullans,Carretera Convencional,N-260,"200,58","200,79",Convencional
Lleida,Estamariu,Carretera Convencional,N-260,"219,52","219,58",Convencional
Lleida,Estamariu,Carretera Convencional,N-260,"220,22","220,29",Convencional
Lleida,Cercs,Carretera Convencional,N-260,"222,64","222,92",Convencional
Lleida,Ribera d'Urgellet,Carretera Convencional,N-260,"237,85","237,89",Convencional
Lleida,Ribera d'Urgellet,Carretera Convencional,N-260,"243,17","243,22",Convencional
Lleida,Soriguera,Carretera Convencional,N-260,"253,66","253,73",Convencional
Lleida,Soriguera,Carretera Convencional,N-260,"257,71","257,79",Convencional
Lleida,Soriguera,Carretera Convencional,N-260,"260,19","260,29",Convencional
Lleida,Soriguera,Carretera Convencional,N-260,"263,45","263,5",Convencional
Lleida,Soriguera,Carretera Convencional,N-260,"275,7","275,83",Convencional
Lleida,Sort,Carretera Convencional,N-260,"278,7","278,79",Convencional
Lleida,Sort,Carretera Convencional,N-260,"284,42","284,6",Convencional
Lleida,La Pobla de Segur,Carretera Convencional,N-260,"301,43","301,58",Convencional
Lleida,La Pobla de Segur,Carretera Convencional,N-260,"306,9",307,Convencional
Lugo,Antas de Ulla,Carretera Convencional,N-640,"136,57","136,82",Convencional
Lugo,A Pontenova,Carretera Convencional,N-640,"33,01","33,28",Convencional
Lugo,Barreiros,Carretera Convencional,N-634,"573,51","573,64",Convencional
Lugo,Baralla,Autopista Libre \ Autovía,A-6,"474,25","473,26",Descendente
Lugo,Quiroga,Carretera Convencional,N-120,"475,47","475,55",Convencional
Lugo,Quiroga,Carretera Convencional,N-120,"476,36","476,41",Convencional
Lugo,Quiroga,Carretera Convencional,N-120,"498,12","498,22",Convencional
Lugo,Quiroga,Carretera Convencional,N-120,"483,35","483,46",Convencional
Lugo,Pantón,Carretera Convencional,N-120,"542,31","542,4",Convencional
Lugo,Palas de Rei,Carretera Convencional,N-547,"36,01","36,14",Convencional
Lugo,Pedrafita do Cebreiro,Carretera Convencional,N-6,"432,7","432,86",Convencional
Lugo,Becerreá,Carretera Convencional,N-6,"451,67","452,06",Convencional
Lugo,Becerreá,Carretera Convencional,N-6,"455,05","455,17",Convencional
Lugo,Becerreá,Carretera Convencional,N-6,"456,51","456,63",Convencional
Lugo,Becerreá,Autopista Libre \ Autovía,A-6,"455,91","456,07",Ascendente
Madrid,Guadarrama,Autopista Peaje,AP-6,"49,05","49,27",Ascendente
Murcia,Lorca,Autopista Libre \ Autovía,A-91,"6,32","6,02",Descendente
