Provincia,Municipio,Nivel Funcional,Carretera,PKI,PKF,Sentido
Málaga,Málaga,Autopista Libre \ Autovía,A-45,"139,862","139,942",Ascendente
Málaga,Marbella,Autopista Peaje,AP-7S,"178,95","178,29",Descendente
Málaga,Mijas,Autopista Peaje,AP-7S,"205,29","205,79",Ascendente
Málaga,Antequera,Autopista Peaje,AP-46,"3,6","3,9",Ascendente
Málaga,Antequera,Autopista Peaje,AP-46,"3,9","3,6",Descendente
Navarra,Lodosa,Autopista Peaje,AP-68,"164,9","165,43",Ascendente
Navarra,Lodosa,Autopista Peaje,AP-68,"165,47","164,83",Descendente
Navarra,Corella,Autopista Peaje,AP-68,"205,71","206,2",Ascendente
Navarra,Corella,Autopista Peaje,AP-68,"206,23","205,79",Descendente
Navarra,Murchante,Autopista Peaje,AP-68,"212,58","213,22",Ascendente
Navarra,Murchante,Autopista Peaje,AP-68,"213,51","212,8",Descendente
Ourense,Cualedro,Carretera Convencional,N-525,"160,5","160,73",Convencional
Ourense,Verín,Carretera Convencional,N-525,"180,13","180,39",Convencional
Ourense,Boborás,Carretera Convencional,N-541,"42,76","42,9",Convencional
Ourense,Punxín,Carretera Convencional,N-541,"16,86","17,06",Convencional
Ourense,Quiroga,Carretera Convencional,N-525,"135,06","135,35",Convencional
Ourense,A Gudiña,Carretera Convencional,N-525,"132,3","132,8",Convencional
Ourense,Cenlle,Carretera Convencional,N-120,"584,81",585,Convencional
Ourense,O Pereiro de Aguiar,Carretera Convencional,N-120,"557,14","557,28",Convencional
Ourense,O Pereiro de Aguiar,Carretera Convencional,N-120,"559,1","559,24",Convencional
Ourense,Melón,Carretera Convencional,N-120,"605,1","605,34",Convencional
Ourense,A Mezquita,Carretera Convencional,N-525,"117,47","117,57",Convencional
Palencia,Abia de las Torres,Autopista Libre \ Autovía,A-67,"59,2","59,445",Ascendente
Palencia,Prádanos de Ojeda,Autopista Libre \ Autovía,A-67,85,"85,2",Ascendente
Palencia,Aguilar de Campoo,Autopista Libre \ Autovía,A-67,"99,05","99,11",Ascendente
Palencia,Abia de las Torres,Autopista Libre \ Autovía,A-67,"59,2","59,275",Descendente
Palencia,Prádanos de Ojeda,Autopista Libre \ Autovía,A-67,85,"84,98",Descendente
Palencia,Aguilar de Campoo,Autopista Libre \ Autovía,A-67,"97,9","97,8",Descendente
Palencia,Torquemada,Autopista Libre \ Autovía,A-62,"65,53","65,79",Ascendente
Palencia,Torquemada,Autopista Libre \ Autovía,A-62,"65,77","65,51",Descendente
Palencia,Ledigos,Carretera Convencional,N-120,"221,6","221,76",Convencional
Palencia,Moratinos,Carretera Convencional,N-120,"228,85","228,98",Convencional
Palencia,Herrera de Pisuerga,Carretera Convencional,N-611,"66,04","66,36",Convencional
Palencia,Santa Cruz de Boedo,Carretera Convencional,N-611,"70,17","70,67",Convencional
Palencia,Herrera de Pisuerga,Carretera Convencional,N-611,"72,89","72,98",Convencional
Pontevedra,Vilaboa,Autopista Peaje,AP-9,"135,31","135,73",Ascendente
Pontevedra,Vilaboa,Carretera Convencional,N-554,"7,19","7,275",Convencional
Pontevedra,Vilaboa,Carretera Convencional,N-554,"7,285","7,365",Convencional
Pontevedra,Vilaboa,Carretera Convencional,N-554,"8,915","9,051",Convencional
Pontevedra,Silleda,Carretera Convencional,N-640,"186,15","186,28",Convencional
Pontevedra,Silleda,Carretera Convencional,N-640,"188,05","188,4",Convencional
Pontevedra,Silleda,Carretera Convencional,N-640,"188,56","188,76",Convencional
Pontevedra,A Estrada,Carretera Convencional,N-640,"193,32","193,6",Convencional
Pontevedra,A Estrada,Carretera Convencional,N-640,"194,36","194,5",Convencional
Pontevedra,Caldas de Reis,Carretera Convencional,N-550,"97,295","97,5",Ascendente
Pontevedra,Tui,Autopista Libre \ Autovía,A-55,"30,87",31,Ascendente
Pontevedra,Redondela,Carretera Convencional,N-550,"137,152","137,211",Convencional
Pontevedra,Barro,Carretera Convencional,N-550,"110,71","111,012",Convencional
Pontevedra,Vilaboa,Autopista Peaje,AP-9,"135,34","134,97",Descendente
Pontevedra,A Cañiza,Carretera Convencional,N-120,"620,07","620,17",Convencional
Pontevedra,Covelo,Carretera Convencional,N-120,625,"625,08",Convencional
Pontevedra,Forcarei,Carretera Convencional,N-541,"54,16","54,33",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"62,25","62,345",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"70,34","70,63",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"73,05","73,12",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"73,18","73,34",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"77,04","77,43",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"77,72","77,92",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"78,76","79,08",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"79,12","79,56",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"79,22","79,46",Convencional
Pontevedra,Cerdedo-Cotobade,Carretera Convencional,N-541,"79,438","79,559",Convencional
Pontevedra,Barro,Carretera Convencional,N-550,"109,55","109,975",Convencional
Pontevedra,Redondela,Carretera Convencional,N-550,"135,298","135,413",Convencional
Salamanca,La Fuente de San Esteban,Carretera Convencional,N-620,"287,79","288,01",Ascendente
Salamanca,Carrascal de Barregas,Carretera Convencional,N-620,"249,095","249,27",Descendente
Salamanca,Cantagallo,Autopista Libre \ Autovía,A-66,"418,95","419,15",Descendente
Salamanca,Guijuelo,Autopista Libre \ Autovía,A-66,"387,5","387,6",Descendente
Salamanca,Cantaracillo,Autopista Libre \ Autovía,A-50,"54,84","55,47",Ascendente
Salamanca,Cantaracillo,Autopista Libre \ Autovía,A-50,"55,47","54,84",Descendente
Salamanca,La Fuente de San Esteban,Autopista Libre \ Autovía,A-62,"284,71","285,33",Ascendente
Salamanca,Ciudad Rodrigo,Autopista Libre \ Autovía,A-62,"317,38","318,06",Ascendente
Salamanca,Ciudad Rodrigo,Autopista Libre \ Autovía,A-62,"320,51","319,77",Descendente
Salamanca,La Fuente de San Esteban,Autopista Libre \ Autovía,A-62,"285,42","284,59",Descendente
Salamanca,Topas,Autopista Libre \ Autovía,A-66,"311,65","310,889",Descendente
Segovia,Honrubia de la Cuesta,Autopista Libre \ Autovía,A-1,"135,1","135,15",Ascendente
Segovia,Honrubia de la Cuesta,Autopista Libre \ Autovía,A-1,"135,32","135,22",Descendente
Segovia,El Espinar,Autopista Peaje,AP-6,"58,06","58,41",Ascendente
Segovia,El Espinar,Autopista Peaje,AP-6,"61,68","62,06",Ascendente
Segovia,El Espinar,Autopista Peaje,AP-6,"69,93","70,44",Ascendente
Segovia,Navas de San Antonio,Autopista Peaje,AP-6,"73,6","74,1",Ascendente
Segovia,Navas de San Antonio,Autopista Peaje,AP-6,"74,1","73,51",Descendente
Segovia,El Espinar,Autopista Peaje,AP-6,"67,5",67,Descendente
Sevilla,Guillena,Carretera Convencional,N-630,"782,906","783,26",Convencional
Sevilla,Guillena,Carretera Convencional,N-630,"795,055","795,39",Convencional
Sevilla,Salteras,Carretera Convencional,N-630,"800,34","801,09",Convencional
Sevilla,Guillena,Carretera Convencional,N-630,"779,58","779,716",Convencional
Sevilla,Guillena,Carretera Convencional,N-630,"772,12","772,25",Convencional
Sevilla,El Ronquillo,Carretera Convencional,N-630,"760,134","760,311",Convencional
Sevilla,Écija,Autopista Libre \ Autovía,A-4,"472,07","472,92",Ascendente
Sevilla,Utrera,Carretera Convencional,N-4,"585,3","585,9",Descendente
Sevilla,Utrera,Carretera Convencional,N-4,"588,38","589,28",Ascendente
Sevilla,La Cabezas de San Juans,Carretera Convencional,N-4,"597,1","597,35",Descendente
Sevilla,El Castillo de las Guardas,Carretera Convencional,N-433,"55,526","55,83",Descendente
Sevilla,El Ronquillo,Carretera Convencional,N-630,"758,118","758,485",Convencional
Sevilla,El Ronquillo,Carretera Convencional,N-630,"758,82","758,49",Convencional
Sevilla,El Ronquillo,Carretera Convencional,N-630,"764,054","764,506",Convencional
Soria,Arcos de Jalón,Autopista Libre \ Autovía,A-2,"171,22","170,9",Descendente
Soria,Villar del Campo,Carretera Convencional,N-122,"120,92","121,71",Convencional
Soria,Villaciervos,Carretera Convencional,N-122,"166,34","166,51",Convencional
Tarragona,Vimbodí i Poblet,Autopista Peaje,AP-2,"183,675","184,15",Ascendente
Tarragona,Vimbodí i Poblet,Autopista Peaje,AP-2,"184,34","183,82",Descendente
Tarragona,El Pla de Santa Maria,Autopista Peaje,AP-2,"208,14","208,76",Ascendente
Tarragona,El Pla de Santa Maria,Autopista Peaje,AP-2,"208,78","208,115",Descendente
Tarragona,La Bisbal del Penedès,Autopista Peaje,AP-2,"227,12","227,71",Ascendente
Tarragona,La Bisbal del Penedès,Autopista Peaje,AP-2,"227,815","227,2",Descendente
Tarragona,El Vendrell,Autopista Peaje,AP-7N,"216,535","216,945",Ascendente
Tarragona,El Vendrell,Autopista Peaje,AP-7N,"217,81","217,45",Descendente
Tarragona,Roda de Berà,Autopista Peaje,AP-7N,"226,2","226,47",Ascendente
Tarragona,Roda de Berà,Autopista Peaje,AP-7N,"226,425","226,205",Descendente
Tarragona,Tarragona,Autopista Peaje,AP-7N,"246,18","246,44",Ascendente
Tarragona,Alcanar,Carretera Convencional,N-340,"1063,54","1063,65",Ascendente
Tarragona,Vimbodí i Poblet,Carretera Convencional,N-240,"45,5","45,68",Ascendente
Tarragona,Alcanar,Carretera Convencional,N-340,"1067,42","1067,46",Ascendente
Tarragona,Alcanar,Carretera Convencional,N-340,"1067,42","1067,52",Descendente
Tarragona,Alcanar,Carretera Convencional,N-340,"1068,87","1068,91",Descendente
Tarragona,Sant Carles de la Ràpita,Carretera Convencional,N-340,"1071,03","1071,07",Ascendente
Tarragona,L' Ampolla,Carretera Convencional,N-340,"1097,94","1098,04",Descendente
Tarragona,Vandellòs i l'Hospitalet de l'Infant,Carretera Convencional,N-340,"1125,93","1125,97",Descendente
Tarragona,Vandellòs i l'Hospitalet de l'Infant,Carretera Convencional,N-340,"1126,38","1126,58",Ascendente
Tarragona,Vandellòs i l'Hospitalet de l'Infant,Carretera Convencional,N-340,"1126,48","1126,63",Descendente
Tarragona,Falset,Carretera Convencional,N-420,"843,85","843,95",Descendente
Teruel,Alcañiz,Carretera Convencional,N-232,"139,15","139,29",Convencional
Teruel,Alcañiz,Carretera Convencional,N-232,145,"145,345",Convencional
Teruel,Híjar,Carretera Convencional,N-232,"156,35","156,56",Convencional
Teruel,Híjar,Carretera Convencional,N-232,"157,325","157,48",Convencional
Teruel,Híjar,Carretera Convencional,N-232,"157,955","158,235",Convencional
Teruel,Híjar,Carretera Convencional,N-232,"161,6","161,82",Convencional
Teruel,Teruel,Carretera Convencional,N-234,"111,2","111,65",Convencional
Teruel,Burbáguena,Carretera Convencional,N-234,"201,65","201,69",Convencional
Teruel,Báguena,Carretera Convencional,N-234,"209,82","209,97",Convencional
Teruel,Libros,Carretera Convencional,N-330,"279,01","279,13",Convencional
Teruel,Cuevas Labradas,Carretera Convencional,N-420,"595,85","596,28",Convencional
Teruel,Peralejos,Carretera Convencional,N-420,"597,76","597,97",Convencional
Teruel,Peralejos,Carretera Convencional,N-420,"599,05","599,18",Convencional
Teruel,Fuentes Calientes,Carretera Convencional,N-420,"625,21","625,54",Convencional
Teruel,Cañada Vellida,Carretera Convencional,N-420,"627,43","627,95",Convencional
Teruel,Valdealgorfa,Carretera Convencional,N-232,"122,2","122,5",Convencional
Teruel,Fórnoles,Carretera Convencional,N-232,"111,52","111,74",Convencional
Teruel,Alcorisa,Carretera Convencional,N-211,"209,75","209,89",Convencional
Teruel,Albentosa,Autopista Libre \ Autovía,A-23,"62,8","62,8",Descendente
Teruel,Ferreruela de Huerva,Autopista Libre \ Autovía,A-23,"201,58","202,58",Ascendente
Teruel,Teruel,Autopista Libre \ Autovía,A-23,"104,65","104,65",Descendente
Teruel,Torre los Negros,Carretera Convencional,N-211,"137,73","138,38",Ascendente
Teruel,Torre los Negros,Carretera Convencional,N-211,"139,24","139,63",Convencional
Teruel,Castel de Cabra,Carretera Convencional,N-211,"179,53","179,67",Convencional
Teruel,Fórnoles,Carretera Convencional,N-232,"110,95","111,29",Convencional
Teruel,Utrillas,Carretera Convencional,N-420,"644,36","645,31",Convencional
Teruel,Valdealgorfa,Carretera Convencional,N-420,"756,8","757,01",Convencional
Teruel,Mazaleón,Carretera Convencional,N-420,"767,585","767,73",Convencional
Teruel,Mazaleón,Carretera Convencional,N-420,"766,875","767,02",Convencional
Teruel,Calaceite,Carretera Convencional,N-420,"773,935","774,12",Convencional
Teruel,Calaceite,Carretera Convencional,N-420,"775,47","775,575",Convencional
Teruel,Calaceite,Carretera Convencional,N-420,"777,39","777,52",Convencional
Toledo,La Guardia,Autopista Libre \ Autovía,A-4,"78,48","79,2",Ascendente
Toledo,Talavera de la Reina,Autopista Libre \ Autovía,A-5,"118,12","118,5",Ascendente
Toledo,Villatobas,Autopista Peaje,AP-36,"17,5","18,27",Ascendente
Toledo,Villatobas,Autopista Peaje,AP-36,"18,32","17,5",Descendente
Toledo,El Toboso,Autopista Peaje,AP-36,"64,03","64,88",Ascendente
Toledo,El Toboso,Autopista Peaje,AP-36,"65,01","64,02",Descendente
Valencia/València,Castielfabib,Carretera Convencional,N-420,"525,98","526,09",Convencional
Valencia/València,Castielfabib,Carretera Convencional,N-420,"528,94","529,32",Convencional
Valencia/València,Castielfabib,Carretera Convencional,N-420,"529,31","529,6",Convencional
Valladolid,Siete Iglesias de Trabancos,Autopista Libre \ Autovía,A-62,"175,31","175,51",Ascendente
Valladolid,Cabezón de Pisuerga,Autopista Libre \ Autovía,A-62,"112,3","112,45",Ascendente
Valladolid,Cabezón de Pisuerga,Autopista Libre \ Autovía,A-62,"111,48","110,9",Descendente
Valladolid,Siete Iglesias de Trabancos,Autopista Libre \ Autovía,A-62,"175,52","175,26",Descendente
Valladolid,Tordesillas,Autopista Libre \ Autovía,A-62,"158,25","158,11",Descendente
Valladolid,Tordesillas,Autopista Libre \ Autovía,A-62,"158,025","158,26",Ascendente
Valladolid,Villanueva de los Caballeros,Autopista Libre \ Autovía,A-6,"220,86","220,414",Descendente
Valladolid,Alcazarén,Carretera Convencional,N-601,"161,4","161,55",Ascendente
Valladolid,Mota del Marqués,Autopista Libre \ Autovía,A-6,"200,72","199,23",Descendente
Valladolid,Villardefrades,Autopista Libre \ Autovía,A-6,"212,425","212,72",Ascendente
Valladolid,Villardefrades,Autopista Libre \ Autovía,A-6,"212,735","212,393",Descendente
Zamora,Villalpando,Autopista Libre \ Autovía,A-6,"229,101","230,62",Ascendente
Zamora,Villalpando,Autopista Libre \ Autovía,A-66,"196,74","197,42",Ascendente
Zamora,Matilla de Arzón,Autopista Libre \ Autovía,A-66,"197,43","196,74",Descendente
Zamora,Matilla de Arzón,Autopista Libre \ Autovía,A-66,"232,65","232,9",Ascendente
Zamora,Santovenia,Autopista Libre \ Autovía,A-66,"241,45","241,95",Ascendente
Zamora,Granja de Moreruela,Autopista Libre \ Autovía,A-66,"241,95","241,45",Descendente
Zamora,Granja de Moreruela,Autopista Libre \ Autovía,A-66,"264,25","264,8",Ascendente
Zamora,Cubillos,Autopista Libre \ Autovía,A-66,"264,75","264,3",Descendente
Zamora,Cubillos,Autopista Libre \ Autovía,A-66,"297,44","298,8",Ascendente
Zamora,Corrales del Vino,Carretera Convencional,N-122,"445,39","445,64",Convencional
Zamora,Coreses,Carretera Convencional,N-122,"467,07","467,72",Convencional
Zamora,Fonfría,Carretera Convencional,N-122,"500,48","500,76",Ascendente
Zamora,Zamora,Carretera Convencional,N-122,"500,5","500,77",Descendente
Zamora,Fonfría,Carretera Convencional,N-122,"509,84","510,3",Descendente
Zamora,Fonfría,Carretera Convencional,N-122,"509,82","510,28",Ascendente
Zamora,Fonfría,Carretera Convencional,N-630,"300,7","300,77",Convencional
Zamora,Corrales del Vino,Carretera Convencional,N-630,"301,11","301,27",Convencional
Zaragoza,Villafeliche,Carretera Convencional,N-234,"235,45","235,5",Convencional
Zaragoza,Fuentes de Jiloca,Carretera Convencional,N-234,"242,51","242,58",Convencional
Zaragoza,Fuentes de Jiloca,Carretera Convencional,N-234,"242,93","243,15",Convencional
Zaragoza,Morata de Jiloca,Carretera Convencional,N-234,"244,7",245,Convencional
Zaragoza,Morata de Jiloca,Carretera Convencional,N-234,246,"246,05",Convencional
Zaragoza,Velilla de Jiloca,Carretera Convencional,N-234,"247,4","247,46",Convencional
Zaragoza,Velilla de Jiloca,Carretera Convencional,N-234,"248,2","248,45",Convencional
Zaragoza,Velilla de Jiloca,Carretera Convencional,N-234,"249,02","249,09",Convencional
Zaragoza,Maluenda,Carretera Convencional,N-234,"249,1","249,2",Convencional
Zaragoza,Maluenda,Carretera Convencional,N-234,"249,5","249,58",Convencional
Zaragoza,Maluenda,Carretera Convencional,N-234,251,"251,07",Convencional
Zaragoza,Paracuellos de Jiloca,Carretera Convencional,N-234,253,"253,1",Convencional
Zaragoza,Calatayud,Carretera Convencional,N-234,"265,97","266,2",Convencional
Zaragoza,Torralba de Ribota,Carretera Convencional,N-234,"271,85","272,02",Convencional
Zaragoza,Cervera de la Cañada,Carretera Convencional,N-234,"276,78","276,92",Convencional
Zaragoza,Murero,Carretera Convencional,N-234,230,"230,1",Convencional
Zaragoza,Villarroya de la Sierra,Carretera Convencional,N-234,"277,58","277,72",Convencional
Zaragoza,Murero,Carretera Convencional,N-234,"229,58","229,72",Convencional
Zaragoza,Manchones,Carretera Convencional,N-234,"226,37","226,46",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"215,49","215,53",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"215,6","215,63",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"218,6","218,65",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"222,3","222,4",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"222,8","222,9",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,223,"223,15",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"223,15","223,195",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"223,23","223,38",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"223,65","223,79",Convencional
Zaragoza,Daroca,Carretera Convencional,N-234,"223,75","224,05",Convencional
Zaragoza,Retascón,Carretera Convencional,N-234,"224,4","224,55",Convencional
Zaragoza,Retascón,Carretera Convencional,N-234,"224,5","224,85",Convencional
Zaragoza,Retascón,Carretera Convencional,N-234,"225,03","225,19",Convencional
Zaragoza,Retascón,Carretera Convencional,N-234,"225,49","225,7",Convencional
Zaragoza,Manchones,Carretera Convencional,N-234,"226,06","226,28",Convencional
Zaragoza,Manchones,Carretera Convencional,N-234,"229,29","229,57",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"215,11","215,2",Convencional
Zaragoza,Daroca,Carretera Convencional,N-330,"418,12","418,33",Convencional
Zaragoza,Retascón,Carretera Convencional,N-330,"418,99","419,11",Convencional
Zaragoza,Calatayud,Carretera Convencional,N-2,"244,2","244,38",Convencional
Zaragoza,Calatayud,Carretera Convencional,N-2,"244,9","244,97",Convencional
Zaragoza,El Frasno,Carretera Convencional,N-2,"246,25","246,32",Convencional
Zaragoza,El Frasno,Carretera Convencional,N-2,"246,84","246,91",Convencional
Zaragoza,El Frasno,Carretera Convencional,N-2,"251,32","251,4",Convencional
Zaragoza,El Frasno,Carretera Convencional,N-2,"251,7","251,78",Convencional
Zaragoza,Alfajarín,Carretera Convencional,N-2,"337,33","337,65",Convencional
Zaragoza,Osera de Ebro,Carretera Convencional,N-2,"349,964","350,154",Convencional
Zaragoza,Pina de Ebro,Carretera Convencional,N-2,"366,853","367,756",Convencional
Zaragoza,La Almolda,Carretera Convencional,N-2,"379,432","379,688",Convencional
Zaragoza,La Almolda,Carretera Convencional,N-2,"384,624","384,784",Convencional
Zaragoza,Mallén,Autopista Peaje,AP-68,"239,415","239,92",Ascendente
Zaragoza,Mallén,Autopista Peaje,AP-68,"240,065","239,56",Descendente
Zaragoza,Pedrola,Autopista Peaje,AP-68,"260,715","261,185",Ascendente
Zaragoza,Pedrola,Autopista Peaje,AP-68,"261,34","260,815",Descendente
Zaragoza,Ateca,Carretera Convencional,N-2,"224,31","221,37",Convencional
Zaragoza,Retascón,Carretera Convencional,N-330,"418,43","418,63",Convencional
Zaragoza,Zuera,Carretera Convencional,N-330,"531,94","531,97",Convencional
Zaragoza,Zuera,Carretera Convencional,N-330,"519,12","519,39",Convencional
Zaragoza,Mainar,Carretera Convencional,N-330,"426,71","426,83",Convencional
Zaragoza,Mainar,Carretera Convencional,N-330,"428,8","428,9",Convencional
Zaragoza,Mainar,Carretera Convencional,N-330,"429,97","429,98",Convencional
Zaragoza,Villarreal de Huerva,Carretera Convencional,N-330,"432,42","432,92",Convencional
Zaragoza,Villarreal de Huerva,Carretera Convencional,N-330,"433,52","433,67",Convencional
Zaragoza,Villarreal de Huerva,Carretera Convencional,N-330,"434,33","434,47",Convencional
Zaragoza,Villarreal de Huerva,Carretera Convencional,N-330,"434,51","434,61",Convencional
Zaragoza,Paniza,Carretera Convencional,N-330,"435,45","435,56",Convencional
Zaragoza,Paniza,Carretera Convencional,N-330,"439,25","439,49",Convencional
Zaragoza,Paniza,Carretera Convencional,N-330,"440,27","440,45",Convencional
Zaragoza,Paniza,Carretera Convencional,N-330,"440,48","440,52",Convencional
Zaragoza,Paniza,Carretera Convencional,N-330,"441,54","441,65",Convencional
Zaragoza,Botorrita,Carretera Convencional,N-330,"474,16","474,28",Convencional
Zaragoza,María de Huerva,Carretera Convencional,N-330,"477,08","477,29",Convencional
Zaragoza,Zaragoza,Multicarril,N-330,"490,1","490,02",Descendente
Zaragoza,Zuera,Carretera Convencional,N-330,"519,48","519,66",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"214,76","214,86",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"214,34","214,42",Convencional
Zaragoza,Villanueva de Jiloca,Carretera Convencional,N-234,"214,475","214,525",Convencional
Zaragoza,Vera de Moncayo,Carretera Convencional,N-122,75,"75,25",Convencional
Zaragoza,Tarazona,Carretera Convencional,N-122,"82,9","83,2",Convencional
Zaragoza,Tarazona,Carretera Convencional,N-122,"86,74","86,85",Convencional
Zaragoza,Tarazona,Carretera Convencional,N-122,"94,63","94,85",Convencional
Zaragoza,Tarazona,Carretera Convencional,N-122,"79,34","79,46",Convencional
Zaragoza,Tarazona,Carretera Convencional,N-122,"79,91","79,98",Convencional
Zaragoza,Mequinenza,Carretera Convencional,N-211,"302,202","302,29",Convencional
Zaragoza,Mequinenza,Carretera Convencional,N-211,"312,024","312,236",Convencional
Zaragoza,Quinto,Carretera Convencional,N-232,"187,06","187,16",Convencional
Zaragoza,Quinto,Carretera Convencional,N-232,"193,62","193,86",Convencional
Zaragoza,Quinto,Carretera Convencional,N-232,"202,53","203,24",Convencional
Zaragoza,Fuentes de Jiloca,Carretera Convencional,N-232,"215,04","215,26",Convencional
Zaragoza,Pedrola,Carretera Convencional,N-232,"273,69","273,88",Convencional
Zaragoza,Luceni,Carretera Convencional,N-232,"277,35","277,42",Convencional
Zaragoza,El Burgo de Ebro,Carretera Convencional,N-232a,"218,94","219,11",Convencional
Zaragoza,Vera de Moncayo,Carretera Convencional,N-122,"74,5","74,58",Convencional
Zaragoza,Bulbuente,Carretera Convencional,N-122,"67,8","67,95",Convencional
Zaragoza,Magallón,Carretera Convencional,N-122,"55,1","55,45",Convencional
Zaragoza,Corrales del Vino,Autopista Libre \ Autovía,A-2,"234,41","234,01",Descendente
Zaragoza,Villafranca de Ebro,Autopista Peaje,AP-2,"32,26","32,92",Ascendente
Zaragoza,Villafranca de Ebro,Autopista Peaje,AP-2,"32,86","32,21",Descendente
Zaragoza,La Almolda,Autopista Peaje,AP-2,"56,31","56,95",Ascendente
Zaragoza,La Almolda,Autopista Peaje,AP-2,"57,06","56,45",Descendente
Zaragoza,Peñalba,Autopista Peaje,AP-2,74,"73,39",Descendente
Zaragoza,La Muela,Autopista Libre \ Autovía,A-2,"294,29","294,45",Ascendente
Zaragoza,Zaragoza,Multicarril,A-68,"260,767","260,211",Descendente
Zaragoza,Zaragoza,Multicarril,A-68,"261,274","261,684",Ascendente
Zaragoza,Bisimbre,Carretera Convencional,N-122,"50,72","50,94",Convencional
Zaragoza,Agón,Carretera Convencional,N-122,"52,8","52,95",Convencional
Zaragoza,Alberite de San Juan,Carretera Convencional,N-122,"57,17","57,4",Convencional
Zaragoza,Alagón,Autopista Peaje,AP-68,"270,055","270,43",Ascendente
Zaragoza,Alagón,Autopista Peaje,AP-68,"270,4","270,035",Descendente
Ávila,Palacios de Goda,Autopista Libre \ Autovía,A-6,"130,2","130,446",Ascendente
Ávila,Palacios de Goda,Autopista Libre \ Autovía,A-6,"130,065","129,764",Descendente
Ávila,Berrocalejo de Aragona,Autopista Peaje,AP-51,"98,83","98,83",Ascendente
Ávila,Berrocalejo de Aragona,Autopista Peaje,AP-51,"99,3","99,3",Descendente
Ávila,Maello,Autopista Peaje,AP-6,91,"91,63",Ascendente
Ávila,Maello,Autopista Peaje,AP-6,"91,53","90,9",Descendente
